Date,Open,High,Low,Close,Volume,Market
"Jun 11, 2017",0.259445,0.259445,0.25911300000000004,0.27275900000000003,114566000,9943590000
"Jun 10, 2017",0.285806,0.285806,0.25787899999999997,0.260874,156721000,10953900000
"Jun 09, 2017",0.289695,0.289695,0.285884,0.286019,102482000,11115900000
"Jun 08, 2017",0.280902,0.280902,0.276441,0.28967800000000005,103152000,10848900000
"Jun 07, 2017",0.284677,0.284677,0.27887399999999996,0.279783,145839000,10994700000
"Jun 06, 2017",0.294028,0.294028,0.276248,0.284548,132720000,11355900000
"Jun 05, 2017",0.29986199999999996,0.29986199999999996,0.2846,0.294003,78433500,11581200000
"Jun 04, 2017",0.29838600000000004,0.29838600000000004,0.277185,0.299413,153488000,11524200000
"Jun 03, 2017",0.30046,0.30046,0.277563,0.29458,155454000,11604300000
"Jun 02, 2017",0.33364499999999997,0.33364499999999997,0.29070999999999997,0.303448,293677000,12885900000
"Jun 01, 2017",0.243946,0.243946,0.243946,0.33365700000000004,588819000,9330770000
"May 31, 2017",0.20536,0.20536,0.193839,0.24659,160620000,7854880000
"May 30, 2017",0.23219099999999998,0.23219099999999998,0.20532399999999998,0.20532399999999998,92808700,8881150000
"May 29, 2017",0.22718899999999997,0.22718899999999997,0.214777,0.23206999999999997,86555600,8689830000
"May 28, 2017",0.212887,0.212887,0.204652,0.229554,122253000,8142790000
"May 27, 2017",0.27269699999999997,0.27269699999999997,0.16234500000000002,0.212549,255532000,10430500000
"May 26, 2017",0.245083,0.245083,0.245083,0.271808,253935000,9374260000
"May 25, 2017",0.29183400000000004,0.29183400000000004,0.238308,0.246065,237805000,11245100000
"May 24, 2017",0.325054,0.325054,0.293009,0.29589,166168000,12525200000
"May 23, 2017",0.313347,0.313347,0.29189299999999996,0.323368,153050000,12074100000
"May 22, 2017",0.338403,0.338403,0.27009099999999997,0.317954,265699000,13039500000
"May 21, 2017",0.353164,0.353164,0.33222199999999996,0.336201,129765000,13608300000
"May 20, 2017",0.328631,0.328631,0.30394099999999996,0.351634,237792000,12663000000
"May 19, 2017",0.363505,0.363505,0.300794,0.327801,269894000,14006800000
"May 18, 2017",0.394931,0.394931,0.33111599999999997,0.364869,237644000,15128200000
"May 17, 2017",0.355124,0.355124,0.326358,0.39413200000000004,470974000,13603300000
"May 16, 2017",0.26982399999999995,0.26982399999999995,0.26982399999999995,0.34986100000000003,440882000,10335800000
"May 15, 2017",0.22006900000000001,0.22006900000000001,0.22006900000000001,0.27071999999999996,223923000,8429940000
"May 14, 2017",0.215179,0.215179,0.211186,0.220223,69732000,8242620000
"May 13, 2017",0.206697,0.206697,0.18698,0.214878,117101000,7917710000
"May 12, 2017",0.18275999999999998,0.18275999999999998,0.18098399999999998,0.20606799999999997,123635000,7000780000
"May 11, 2017",0.18503499999999998,0.18503499999999998,0.162431,0.183135,103699000,7023110000
"May 10, 2017",0.158471,0.158471,0.156363,0.186066,138792000,6014860000
"May 09, 2017",0.19919800000000001,0.19919800000000001,0.134406,0.160074,214002000,7560680000
"May 08, 2017",0.14162,0.14162,0.135105,0.198212,402611000,5375270000
"May 07, 2017",0.10192899999999999,0.10192899999999999,0.098938,0.141763,249029000,3868770000
"May 06, 2017",0.093429,0.093429,0.093429,0.10179099999999999,88394200,3546160000
"May 05, 2017",0.080229,0.080229,0.078704,0.09355,184430000,3045130000
"May 04, 2017",0.061062,0.061062,0.059283,0.078914,153374000,2313340000
"May 03, 2017",0.053904999999999995,0.053904999999999995,0.052283,0.060489999999999995,42869000,2042180000
"May 02, 2017",0.05464600000000001,0.05464600000000001,0.050710000000000005,0.053908000000000005,33814700,2070240000
"May 01, 2017",0.051579999999999994,0.051579999999999994,0.049317,0.055115,61730100,1954090000
"Apr 30, 2017",0.05280700000000001,0.05280700000000001,0.049574,0.05160700000000001,41974200,2000600000
"Apr 29, 2017",0.044558,0.044558,0.044558,0.052868,114359000,1688070000
"Apr 28, 2017",0.034843,0.034843,0.034783999999999995,0.044475,81121600,1320040000
"Apr 27, 2017",0.032826999999999995,0.032826999999999995,0.032157,0.034816,16661600,1243640000
"Apr 26, 2017",0.032389999999999995,0.032389999999999995,0.032182999999999996,0.032797,11921700,1227080000
"Apr 25, 2017",0.031409,0.031409,0.031297000000000005,0.032346,13469200,1189920000
"Apr 24, 2017",0.031236,0.031236,0.030737999999999998,0.031383999999999995,6333250,1183370000
"Apr 23, 2017",0.031878,0.031878,0.030742000000000002,0.031278,4976320,1207680000
"Apr 22, 2017",0.033122000000000006,0.033122000000000006,0.031422000000000005,0.03177,9020550,1254840000
"Apr 21, 2017",0.029726999999999996,0.029726999999999996,0.029216000000000002,0.032780000000000004,28245700,1126210000
"Apr 20, 2017",0.030258999999999998,0.030258999999999998,0.027493,0.029983999999999997,25650400,1135700000
"Apr 19, 2017",0.033181,0.033181,0.029687,0.030173000000000002,13265600,1245350000
"Apr 18, 2017",0.033638,0.033638,0.032866,0.033183,8970210,1262530000
"Apr 17, 2017",0.0334,0.0334,0.032955,0.033655000000000004,7933260,1253560000
"Apr 16, 2017",0.03388,0.03388,0.033194,0.033462,5980280,1271610000
"Apr 15, 2017",0.033527999999999995,0.033527999999999995,0.033277,0.033955,4972610,1258400000
"Apr 14, 2017",0.034262,0.034262,0.032986,0.033779,8869300,1285920000
"Apr 13, 2017",0.034459,0.034459,0.033461000000000005,0.034383,15872400,1292790000
"Apr 12, 2017",0.033002,0.033002,0.032477,0.034336,13437000,1238110000
"Apr 11, 2017",0.033677,0.033677,0.032035,0.032951999999999995,11301000,1263420000
"Apr 10, 2017",0.034123,0.034123,0.032806,0.033598,12012700,1280150000
"Apr 09, 2017",0.035799,0.035799,0.032327,0.03402,15695600,1343050000
"Apr 08, 2017",0.036355,0.036355,0.034932,0.035849,14782600,1363900000
"Apr 07, 2017",0.03274,0.03274,0.030788999999999997,0.036319,36825000,1228290000
"Apr 06, 2017",0.035672,0.035672,0.029463,0.032665,48264600,1338210000
"Apr 05, 2017",0.037386,0.037386,0.035213999999999995,0.035544,42360300,1402530000
"Apr 04, 2017",0.033032,0.033032,0.028324000000000002,0.037455,78538100,1239170000
"Apr 03, 2017",0.060291,0.060291,0.027447000000000003,0.033023000000000004,155550000,2261800000
"Apr 02, 2017",0.021938,0.021938,0.021696,0.061159000000000005,230622000,820232000
"Apr 01, 2017",0.021743000000000002,0.021743000000000002,0.019663999999999997,0.021892,30657700,812963000
"Mar 31, 2017",0.013049000000000002,0.013049000000000002,0.013049000000000002,0.020888999999999998,72699400,487885000
"Mar 30, 2017",0.010125,0.010125,0.010125,0.013276,19821800,378563000
"Mar 29, 2017",0.009526,0.009526,0.00952,0.010101,3344230,356171000
"Mar 28, 2017",0.009568,0.009568,0.00928,0.009514,3111280,357724000
"Mar 27, 2017",0.009481999999999999,0.009481999999999999,0.009155,0.009597,6336150,354514000
"Mar 26, 2017",0.009159,0.009159,0.009079,0.009545,5475230,342448000
"Mar 25, 2017",0.010502,0.010502,0.009040000000000001,0.009115999999999999,11334900,392674000
"Mar 24, 2017",0.010528000000000001,0.010528000000000001,0.009134999999999999,0.010518000000000001,24493700,393620000
"Mar 23, 2017",0.0072840000000000005,0.0072840000000000005,0.007258,0.010582,12315100,271965000
"Mar 22, 2017",0.006908,0.006908,0.006881999999999999,0.007301,4652530,257915000
"Mar 21, 2017",0.006996,0.006996,0.006792,0.006909,3021440,261234000
"Mar 20, 2017",0.006915,0.006915,0.006761,0.006975,3423710,258208000
"Mar 19, 2017",0.006736,0.006736,0.006556,0.006912000000000001,4241970,251511000
"Mar 18, 2017",0.006137,0.006137,0.006118,0.00671,7223300,229142000
"Mar 17, 2017",0.006406,0.006406,0.0059700000000000005,0.006116,3442010,239193000
"Mar 16, 2017",0.006319,0.006319,0.006213000000000001,0.0063939999999999995,3860210,235622000
"Mar 15, 2017",0.006370000000000001,0.006370000000000001,0.006301,0.006314,1376090,237552000
"Mar 14, 2017",0.006346,0.006346,0.0062770000000000005,0.006381,1358830,236634000
